StreamID,CentroidX,CentroidY,Source,TreatmentName,BiomassUtilized,TreatmentStatus,FundedProjectName,TreatmentCategory,PendingStateReview,FederalGrantProgram,ActualCompletionDate,FederalFundingAmount,FederalGrantFiscalYear,TreatmentAcresReported,TreatmentIdentifierDatabase,LeveragedByIndirectFederalFunding
29d439e2-2e98-42ca-81b8-888e5cc0067d,-16.57434898,25.5355054,Washington,,No,Completed,,Other,2,JCLR,1.61406E+12,,2020,21,211b17f0-9bd9-4c64-a69c-83fa332a9be4,0
4dfc73b9-b040-417c-9f2b-e488e48752a4,-16.11025174,26.28906384,Washington,,No,Completed,,Chemical,2,WWUI,1.59582E+12,124815,2018,471,211b17f0-9bd9-4c64-a69c-83fa332a9be4,0
aefb5f6b-6466-4596-be3c-c25e8baf17a2,-15.35217762,26.39203586,Washington,,No,Completed,,Other,2,CB-HFR,1.55686E+12,8721,2017,19,211b17f0-9bd9-4c64-a69c-83fa332a9be4,0
78f0a617-aa9e-4d02-97b8-7ba7258b3462,-18.45413873,13.47554046,California,Dominguez East,No,Completed,,N/A,0,0,,,,38,847b3f4a-f7a8-4e87-95ba-42b9871a158a,0
9a75b761-d0af-40ec-975f-04542a5a4e16,-18.46186777,19.12676804,California,Plumas National Forest 5,No,Completed,,N/A,0,0,,,,339,847b3f4a-f7a8-4e87-95ba-42b9871a158a,0
89db450f-64e0-4364-bb53-e118cecd3905,-17.36442129,12.18464917,California,Rainbow Truck Trail Maintenance 2023,No,Completed,,N/A,0,0,,,,0,847b3f4a-f7a8-4e87-95ba-42b9871a158a,0
5f5dd57e-4147-486f-8d43-02d8bda00da0,-17.8645635,12.45103177,California,Habitat Restoration,No,Completed,,N/A,0,0,,,,15,847b3f4a-f7a8-4e87-95ba-42b9871a158a,0
1806c193-9b0f-4043-8a31-e69728429b1c,-20.62686412,20.91038799,California,GPC 4,No,Completed,,N/A,0,0,,,,9,847b3f4a-f7a8-4e87-95ba-42b9871a158a,0
69c5b1f6-a3f3-44e4-b0a0-4e2d148982d4,-14.00846281,25.61078834,Idaho,,No,Completed,,Mechanical,2,HFR,1.56256E+12,729.5746979,2017,1.28220509303522,683b8420-09e9-4315-b874-2eb8aab25889,0
2167dd2f-3b2c-40aa-a419-a6eddb4049d0,-13.71610475,25.73332817,Idaho,,Yes,Completed,,Chemical,2,BIL SFA,1.62727E+12,3562.182552,2020,2.42820896519955,683b8420-09e9-4315-b874-2eb8aab25889,0
411291e8-928c-4ac9-aee9-3dc3b9ad8b6a,-14.99720921,26.12158089,Washington,,No,Completed,,Chemical,2,CB-HFR,1.57639E+12,,2016,60,211b17f0-9bd9-4c64-a69c-83fa332a9be4,0
e2e02ef5-4384-4747-8970-0b30feed04ee,-19.17653591,18.79643582,California,Fuel Reduction Grant,No,Completed,,N/A,0,0,,,,52,847b3f4a-f7a8-4e87-95ba-42b9871a158a,0
f57f52ae-c26e-4c13-aa90-8eeb105759df,-20.48003805,16.60191455,California,Swanton Pacific Ranch,No,Completed,,N/A,0,0,,,,279,847b3f4a-f7a8-4e87-95ba-42b9871a158a,0
91fe57c0-1115-4eb6-b709-511b616de340,-18.02628463,15.32796795,California,02 - BLM Understory Thinning 1A (Pest Management),No,Completed,,N/A,0,0,,,,181,847b3f4a-f7a8-4e87-95ba-42b9871a158a,0
087d22f7-62b7-44bc-bc96-55bf886bd0be,-20.33742025,18.55472256,California,Fuel Reduction Grant,No,Completed,,N/A,0,0,,,,375,847b3f4a-f7a8-4e87-95ba-42b9871a158a,0
